Team work is important; it helps to put the blame on someone else.|attitude, life, work
Before I criticize a man, I like to walk a mile in his shoes. That way, when I do criticize him, I'm a mile away and I have his shoes.|attitude, communication, life
Today a man knocked on my door and asked for a small donation towards the local swimming pool. I gave him a glass of water.|life, sport
You know that tingly little feeling you get when you like someone? That's your common sense leaving your body.|intelligence, life, love
When my boss asked me who is the stupid one, me or him? I told him everyone knows he doesn't hire stupid people.|attitude, men, work
My wife and I were happy for twenty years. Then we met.|marriage
Feeling pretty proud of myself. The Sesame Street puzzle I bought said 3-5 years, but I finished it in 18 months.|attitude, kids
Just read that 4,153,237 people got married last year, not to cause any trouble but shouldn't that be an even number?|life, marriage, people
I used to think I was indecisive, but now I'm not too sure.|attitude, life
A recent study has found that women who carry a little extra weight live longer than the men who mention it.|attitude, life, men, women
Me: Let's stay in bed. Me also: Good idea.|attitude, life
Tomorrow is a big day for me at work. They are refilling the snack vending machine.|food, sarcastic, work
I read a survey that said 82% of people enjoy being cuddled. But if the people on this bus are any indication, the real figure is, like 0%.|love, people, sarcastic, travel
I often confuse reptiles and amphibians. Actually, if I'm being brutally honest, they pretty much never know what I'm talking about.|attitude, communication, people
I hope when I inevitably choke to death on gummy bears people just say I was killed by bears and leave it at that.|attitude, death, food, people, sarcastic
I drink straight out a of the wine bottle while cooking. I think that's what they mean by reducing it.|alcohol, food, puns
I guess the Tupperware lids in my house just graduate and go off to college or something.|graduation, school
My other body is in the Photoshop.|beauty, IT
If I survived a plane crash in the wilderness, my biggest concern would be how much my airport parking bill would be.|life, money, sarcastic, travel
How did Jesus' crucifixion save us? It's 'cause he nailed it!|christian, puns
Regular naps prevent old age, especially if you take them while driving.|age, life, retirement
Now that I'm older, I realize that my imaginary friend was really nothing more than an imaginary acquaintance.|age, friendship
I always feel better when my doctor says something is normal for my age but then think dying will also be normal for my age at some point.|age, death, doctor, health
The recommended age to have a Ouija Board is 8+ years old. So, you need to be 21 years old to drink alcohol and 8 to summon the devil.|age, alcohol, life
Aging gracefully is like the nice way of saying you're slowly looking worse.|age, rude
I know I'm getting old... the other day I walked past a cemetery and two guys attacked me with shovels.|age, attitude, death
I have the body of a 25 year old supermodel, but it takes up too much space in my freezer.|age, beauty, death
At what age is it appropriate to tell my dog that he's adopted?|age, animal, life
I grew a beard thinking it would say "Distinguished Gentleman." Instead, turns out it says, "Senior Discount, Please!"|age, attitude
A diplomat is a man who always remembers a woman's birthday but never remembers her age.|age, women
Alcohol is a perfect solvent: It dissolves marriages, families and careers.|alcohol, life, marriage
Dear alcohol, We had a deal where you would make me funnier, smarter, and a better dancer... I saw the video... we need to talk.|alcohol
One cigarette shortens your life by two hours, one bottle of vodka by three hours, and a workday – eight hours.|alcohol, life, work
My girlfriend told me to go out and get something that makes her look sexy... so I got drunk.|alcohol, men, sarcastic, sex, women
Why is there so much blood in my alcohol system?|alcohol, sarcastic
We never knew he was a drunk... until he showed up to work sober.|alcohol, life, work
A man enters a store and says: "15 litres of wine please." "Did you bring a container for this?" "You're speaking to it."|alcohol
I plan to donate my liver to an alcoholic so i'll know it's a match|alcohol
A camel can work 10 days without drinking, I can drink 10 days without working.|alcohol, animal, work
Life is all about perspective. The sinking of the Titanic was a miracle to the lobsters in the ship's kitchen.|animal, attitude
Did you know that dolphins are so smart that within a few weeks of captivity, they can train people to stand on the very edge of the pool and throw them fish?|animal, people
It's funny, when I walk into a spider web I demolish his home and misplace his dinner yet I still feel like the victim.|animal, attitude, life
I sometimes watch birds and wonder "If I could fly who would I shit on?"|animal, attitude, life
She wanted a puppy. But I didn't want a puppy. So we compromised and got a puppy.|animal, attitude, women
Never trust a dog to watch your food.|animal, attitude
A friend of mine tried to annoy me with bird puns, but I soon realized that toucan play at that game.|animal, puns
I need to start paying closer attention to stuff. Found out today my wife and I have separate names for the cat.|animal, attitude, marriage
What makes men chase women they have no intention of marrying? The same urge that makes dogs chase cars they have no intention of driving.|animal, men
I have never understood why women love cats. Cats are independent, they don't listen, they don't come in when you call, they like to stay out all night, and when they're home they like to be left alone and sleep. In other words, every quality that women hate in a man, they love in a cat.|animal, hate, love, men, women
You're not fat, you're just... easier to see.|attitude, life, motivational
Isn't it great to live in the 21st century? Where deleting history has become more important than making it.|attitude
The 50-50-90 rule: Anytime you have a 50-50 chance of getting something right, there's a 90% probability you'll get it wrong.|attitude, life
If i had a dollar for every girl that found me unattractive, they would eventually find me attractive.|beauty, women
Makeup tip: You're not in the circus.|beauty, women
Can I have your picture so I can show Santa what I want for Christmas?|beauty, Christmas, flirty, love
Me: Siri, why am I alone? Siri: *opens front facing camera*|beauty, sarcastic
I must have a nice butt, because, everytime I'm walking away from talking to someone they say "What an ass?"|beauty, communication, insults
Nothing makes me more suspicious than an unsolicited compliment.|attitude, beauty
I live in constant fear that my kid will become a famous artist or painter and I will have thrown out about a trillion dollars of her work.|beauty, kids, life, money, work
Are you made of beryllium, gold, and titanium? You must be because you are BeAuTi-ful.|beauty, flirty, intelligence
Behind every fat woman there is a beautiful woman. No seriously, your in the way.|beauty, fat, insults, women
What's the difference between a northern fairytale and a southern fairytale? A northern fairytale begins "Once upon a time ..." A southern fairytale begins "Y'all ain't gonna believe this shit ..."|black, racist
Father's day, the most confusing day in the ghetto.|black, life, racist
Why dont blacks celibrate thanksgiving? KFC isnt open on holidays.|black, racist
Olympic track makes you feel like you witnesed a crime, because you hear a gunshot and then see a bunch of black guys hauling ass.|black, life
Why is there cotton in pill bottles? To remind black people that they were cotton pickers before drug dealers.|black, drug, racist
Why do white people always go to black people's garage sales? To get their stuff back!|black, racist
Q: Why are all blacks fast? A: The slow ones are in jail.|black, racist, sarcastic
Why wasnt there any blacks in the flintstones? Because they were still monkeys.|black, racist
What does it mean when you see a bunch of blacks running in one direction? Jail break.|black, racist
Q: What do you call a bunch of dead black people in a barn? A: Out dated farming equipment.|black, death, racist
What do you do if a blonde throws a grenade at you? Pull the pin and throw it back.|blonde
Why did the blond get fired from the banana plantation? Because she threw out all the bent ones.|blonde
How do you make a blonde's eyes light up? Shine a flashlight in their ear.|blonde
What do you call it when a blonde dies their hair brunette? Artificial intelligence.|blonde, intelligence
What do you call a smart blonde? A golden retriever.|blonde
What can strike a blonde without her even knowing it? A thought.|blonde
What did the blonde say when she found out she was pregnant? "Are you sure it's mine?"|blonde, kids
How do you make a blonde laugh on Saturday? Tell her a joke on Wednesday!|blonde
Why can't blondes count to 70? Because 69 is a bit of a mouthful.|blonde, dirty
Why did the blonde stare at a frozen orange juice can for 2 hours? Because it said "concentrate"!|blonde
I want to die peacefully in my sleep, like my grandfather.. Not screaming and yelling like the passengers in his car.|car, sarcastic
Apparently I snore so loudly that it scares everyone in the car I'm driving.|car, life, sarcastic
My wife is so negative. I remembered the car seat, the stroller, AND the diaper bag. Yet all she can talk about is how I forgot the baby.|car, kids, men
My wife had her driver's test the other day. She got 8 out of 10. The other 2 guys jumped clear.|car, women
Going to church doesn't make you a Christian any more than standing in a garage makes you a car.|car, christian
I gave up my seat to a blind person in the bus. That is how I lost my job as a bus driver.|attitude, car, work
Children in the back seats of cars cause accidents, but accidents in the back seats of cars cause children.|car, kids, sex
Isn't it weird how when a cop drives by you feel paranoid instead of protected.|car, life, motorcycle
I work to buy a car to go to work.|car, work
What do women and police cars have in common? They both make a lot of noise to let you know they are coming.|car, sex, women
Telling a girl to calm down works about as well as trying to baptize a cat.|christian, sarcastic, women
Moses was leading his people through the desert for 40 years. It seems, even in Biblical times men avoided asking the way.|christian, men
Did Noah include termites on the ark?|animal, christian
If God is watching us, the least we can do is be entertaining.|christian, God
Deja Vu – When you think you're doing something you've done before, it's because God thought it was so funny, he had to rewind it for his friends.|christian, God
